# Data by ClimateChangeTracker.org, generated 17 June 2025 09:26.
# 
# You must credit any use of this data like shown on https://climatechangetracker.org/data-api
# 
"year","gmsl","gmsl_lower","gmsl_upper"
"1901",0,-3.8,3.8
"1902",-0.2,-4.9,4.6
"1903",0.5,-4.5,5.4
"1904",0.2,-4.5,4.9
"1905",0.4,-4.4,5.2
"1906",0.1,-4.5,4.8
"1907",0.4,-4.3,5.1
"1908",-0.2,-5,4.6
"1909",0.2,-4.6,4.9
"1910",0.2,-4.5,4.9
"1911",1.1,-3.5,5.8
"1912",1.3,-3.4,6
"1913",1.7,-3,6.3
"1914",2,-2.8,6.7
"1915",2.4,-2.2,7
"1916",1.4,-3.2,6.1
"1917",1.7,-3,6.3
"1918",1.8,-2.8,6.4
"1919",2.1,-2.5,6.7
"1920",2.5,-2.1,7.1
"1921",2.5,-2.1,7.1
"1922",2.5,-2.1,7.1
"1923",2.1,-2.5,6.6
"1924",2,-2.6,6.6
"1925",2,-2.6,6.6
"1926",2.2,-2.3,6.7
"1927",2.4,-2.1,6.9
"1928",2.2,-2.3,6.8
"1929",2.3,-2.2,6.9
"1930",2.7,-1.8,7.2
"1931",2.7,-1.9,7.2
"1932",3.4,-1.1,7.9
"1933",3.4,-1.1,7.9
"1934",2.8,-1.8,7.4
"1935",3.5,-1,8.1
"1936",3.3,-1.3,7.8
"1937",3.8,-0.7,8.3
"1938",4.3,-0.2,8.8
"1939",4.7,0.2,9.2
"1940",4.2,-0.4,8.9
"1941",5.2,0.7,9.7
"1942",5.3,0.8,9.8
"1943",5.5,1,10.1
"1944",5.1,0.5,9.7
"1945",5.3,0.7,9.8
"1946",6.1,1.6,10.6
"1947",6,1.6,10.5
"1948",6.5,2.1,10.9
"1949",6.9,2.4,11.4
"1950",6.9,2.4,11.4
"1951",7.6,3.2,12
"1952",7.6,3.2,12
"1953",7.9,3.5,12.3
"1954",7.5,3.1,11.9
"1955",7.7,3.3,12.1
"1956",7.1,2.7,11.5
"1957",8.2,3.9,12.5
"1958",8.2,3.9,12.4
"1959",8.3,4,12.5
"1960",8.6,4.3,12.8
"1961",8.8,4.6,13
"1962",8.5,4.3,12.8
"1963",8.5,4.2,12.8
"1964",8.1,3.8,12.4
"1965",8.8,4.5,13.1
"1966",8.4,4.2,12.6
"1967",8.4,4.2,12.6
"1968",8.4,4.2,12.6
"1969",8.7,4.6,12.9
"1970",8.6,4.5,12.8
"1971",9.2,5.1,13.4
"1972",9.4,5.3,13.5
"1973",9,4.9,13.2
"1974",9.7,5.5,13.8
"1975",9.9,5.8,14.1
"1976",9.7,5.5,13.8
"1977",9.8,5.7,13.9
"1978",9.9,5.8,14
"1979",10.1,6,14.2
"1980",10.3,6.2,14.4
"1981",11.3,7.2,15.4
"1982",10.9,6.8,15
"1983",11.3,7.2,15.4
"1984",11.4,7.3,15.5
"1985",10.9,6.8,15
"1986",11.2,7.1,15.4
"1987",11.2,7,15.5
"1988",11.3,7.1,15.4
"1989",11.7,7.5,15.8
"1990",12,7.9,16.1
"1991",12,7.8,16.1
"1992",12,7.9,16.1
"1993",12.1,8.2,15.9
"1994",12.3,8.5,16.2
"1995",12.6,8.8,16.5
"1996",12.9,9.1,16.8
"1997",13.2,9.4,17.1
"1998",13.4,9.5,17.2
"1999",13.5,9.6,17.3
"2000",13.8,10,17.7
"2001",14.3,10.4,18.1
"2002",14.6,10.8,18.5
"2003",14.9,11.1,18.8
"2004",15.1,11.3,19
"2005",15.6,11.7,19.4
"2006",15.8,11.9,19.6
"2007",15.8,11.9,19.6
"2008",16.2,12.3,20
"2009",16.6,12.8,20.5
"2010",16.8,12.9,20.6
"2011",16.7,12.9,20.5
"2012",17.7,13.9,21.6
"2013",18,14.2,21.9
"2014",18.3,14.5,22.2
"2015",19.3,15.5,23.2
"2016",19.7,15.8,23.5
"2017",19.8,15.9,23.6
"2018",20.2,16.3,24
"2019",20.9,17,24.7
"2020",21.1,17.2,24.9
"2021",21.5,17.7,25.4
"2022",21.8,17.9,25.6
"2023",22.4,18.6,26.3
"2024",22.8,18.9,26.6
