# Data by ClimateChangeTracker.org, generated 06 September 2025 06:00.
# 
# You must credit any use of this data like shown on https://climatechangetracker.org/data-api
# 
"year","gt","ppm"
1850,2246,288.6
1851,2247,288.7
1852,2247,288.8
1853,2247,288.8
1854,2247,288.8
1855,2247,288.8
1856,2247,288.8
1857,2247,288.7
1858,2247,288.7
1859,2246,288.7
1860,2246,288.7
1861,2247,288.7
1862,2247,288.7
1863,2247,288.7
1864,2248,288.8
1865,2248,288.9
1866,2249,289
1867,2251,289.2
1868,2252,289.4
1869,2254,289.6
1870,2255,289.8
1871,2257,290
1872,2259,290.3
1873,2261,290.5
1874,2262,290.7
1875,2264,290.9
1876,2266,291.1
1877,2267,291.3
1878,2269,291.5
1879,2270,291.7
1880,2272,291.9
1881,2274,292.2
1882,2275,292.4
1883,2277,292.6
1884,2280,292.9
1885,2282,293.2
1886,2285,293.6
1887,2287,293.9
1888,2290,294.3
1889,2294,294.7
1890,2297,295.1
1891,2300,295.5
1892,2303,295.9
1893,2306,296.3
1894,2309,296.7
1895,2312,297.1
1896,2315,297.4
1897,2317,297.7
1898,2319,298
1899,2321,298.3
1900,2323,298.5
1901,2325,298.7
1902,2326,299
1903,2328,299.2
1904,2330,299.4
1905,2332,299.7
1906,2334,300
1907,2337,300.3
1908,2339,300.6
1909,2342,300.9
1910,2344,301.3
1911,2347,301.6
1912,2350,301.9
1913,2352,302.3
1914,2355,302.7
1915,2358,303
1916,2361,303.4
1917,2364,303.8
1918,2368,304.2
1919,2371,304.6
1920,2374,305
1921,2376,305.4
1922,2379,305.7
1923,2382,306.1
1924,2385,306.4
1925,2387,306.8
1926,2390,307.1
1927,2393,307.5
1928,2395,307.8
1929,2398,308.2
1930,2401,308.6
1931,2404,308.9
1932,2407,309.3
1933,2410,309.7
1934,2413,310
1935,2416,310.4
1936,2418,310.8
1937,2421,311.1
1938,2424,311.5
1939,2427,311.8
1940,2429,312.1
1941,2431,312.4
1942,2433,312.7
1943,2435,312.9
1944,2436,313
1945,2437,313.2
1946,2438,313.3
1947,2438,313.3
1948,2439,313.4
1949,2440,313.6
1950,2441,313.7
1951,2443,313.9
1952,2444,314.1
1953,2446,314.3
1954,2448,314.6
1955,2450,314.9
1956,2453,315.2
1957,2456,315.6
1958,2459,316
1959,2465,316.8
1960,2473,317.7
1961,2478,318.5
1962,2484,319.2
1963,2489,319.8
1964,2493,320.4
1965,2497,320.9
1966,2505,322
1967,2514,323
1968,2519,323.7
1969,2526,324.7
1970,2537,326
1971,2545,327.1
1972,2551,327.8
1973,2563,329.3
1974,2574,330.8
1975,2579,331.4
1976,2589,332.7
1977,2596,333.6
1978,2611,335.6
1979,2621,336.9
1980,2637,338.9
1981,2647,340.1
1982,2653,340.9
1983,2666,342.5
1984,2678,344.1
1985,2689,345.5
1986,2700,347
1987,2713,348.7
1988,2733,351.2
1989,2745,352.8
1990,2755,354.1
1991,2766,355.4
1992,2771,356.1
1993,2777,356.8
1994,2789,358.3
1995,2803,360.2
1996,2817,361.9
1997,2825,363
1998,2846,365.7
1999,2862,367.8
2000,2871,369
2001,2884,370.6
2002,2899,372.6
2003,2919,375.1
2004,2933,377
2005,2949,379
2006,2966,381.1
2007,2980,382.9
2008,2996,385
2009,3008,386.5
2010,3025,388.8
2011,3040,390.6
2012,3056,392.6
2013,3077,395.4
2014,3092,397.3
2015,3110,399.6
2016,3137,403.1
2017,3153,405.2
2018,3172,407.6
2019,3191,410.1
2020,3210,412.4
2021,3227,414.7
2022,3246,417.1
2023,3263,419.4
2024,3290,422.8
2025,3308,425
